,model_shape_id,gtfs_shape_id,LineID,operator,feed,service_id
1362,114744,11005155,114744,1,metro,WEEKDAY
1363,114697,41212074,114697,1,metro,WEEKDAY
1364,114739,11041242,114739,1,metro,WEEKDAY
1365,114779,21987009,114779,1,metro,WEEKDAY
1366,114358,20269045,114358,1,metro,WEEKDAY
1370,114022,41211051,114022,1,metro,WEEKDAY
1372,114068,20073150,114068,1,metro,WEEKDAY
1373,114137,10119022,114137,1,metro,WEEKDAY
1374,114156,21124050,114156,1,metro,WEEKDAY
1375,114357,11269050,114357,1,metro,WEEKDAY
1376,114359,20269046,114359,1,metro,WEEKDAY
1379,114698,41214062,114698,1,metro,WEEKDAY
1380,114700,41215061,114700,1,metro,WEEKDAY
1382,114130,10116021,114130,1,metro,WEEKDAY
1383,114157,21124051,114157,1,metro,WEEKDAY
1384,114178,21014607,114178,1,metro,WEEKDAY
1386,114588,20076020,114588,1,metro,WEEKDAY
1387,114738,11041223,114738,1,metro,WEEKDAY
1391,115278,11071633,115278,1,metro,WEEKDAY
1393,115309,11041237,115309,1,metro,WEEKDAY
1394,115313,11316014,115313,1,metro,WEEKDAY
1396,115311,11074135,115311,1,metro,WEEKDAY
1397,115390,21007046,115390,1,metro,WEEKDAY
1398,115397,21177116,115397,1,metro,WEEKDAY
1399,115388,21004566,115388,1,metro,WEEKDAY
1401,114634,11931007,114634,1,metro,WEEKDAY
1402,114330,20246312,114330,1,metro,WEEKDAY
1404,114549,20068068,114549,1,metro,WEEKDAY
1405,114073,21887004,114073,1,metro,WEEKDAY
1406,114289,10221080,114289,1,metro,WEEKDAY
1408,114252,21002559,114252,1,metro,WEEKDAY
1409,114948,,114948,1,metro,WEEKDAY
1411,115338,10119012,115338,1,metro,WEEKDAY
1412,114270,30208025,114270,1,metro,WEEKDAY
7,114972,424-sb-Weekday,114972,3,ct,WEEKDAY
18,115417,14SEP-Weekday-855-8s-4,115417,3,ct,WEEKDAY
20,115424,14SEP-Weekday-855-8n-14,115424,3,ct,WEEKDAY
30,115026,14SEP-Weekday-270277w-7,115026,3,ct,WEEKDAY
66,115012,201-sb-Weekday,115012,3,ct,WEEKDAY
67,114989,860-sb-Weekday,114989,3,ct,WEEKDAY
68,114992,14SEP-Weekday-880s-3,114992,3,ct,WEEKDAY
69,114985,701-nb-Weekday,114985,3,ct,WEEKDAY
70,114988,855-sb-Weekday,114988,3,ct,WEEKDAY
74,115000,116-eb-Weekday,115000,3,ct,WEEKDAY
155,115070,410-nb-Weekday,115070,3,ct,WEEKDAY
193,115055,435-nb-Weekday,115055,3,ct,WEEKDAY
194,115048,415-nb-Weekday,115048,3,ct,WEEKDAY
208,115009,196-eb-Weekday,115009,3,ct,WEEKDAY
209,115017,105-nb-Weekday,115017,3,ct,WEEKDAY
210,115037,14SEP-Weekday-280w-2,115037,3,ct,WEEKDAY
234,115030,275-wb-Weekday,115030,3,ct,WEEKDAY
235,115036,14SEP-Weekday-280w-18,115036,3,ct,WEEKDAY
240,115010,196-wb-Weekday,115010,3,ct,WEEKDAY
247,114994,112-sb-Weekday,114994,3,ct,WEEKDAY
252,115047,413-nb-Weekday,115047,3,ct,WEEKDAY
274,114987,14SEP-Weekday-821s-3,114987,3,ct,WEEKDAY
322,114969,14SEP-Weekday-417s-4,114969,3,ct,WEEKDAY
326,114966,415-sb-Weekday,114966,3,ct,WEEKDAY
427,114974,110-wb-Weekday,114974,3,ct,WEEKDAY
428,115013,202-nb-Weekday,115013,3,ct,WEEKDAY
429,115018,222-eb-Weekday,115018,3,ct,WEEKDAY
430,115019,222-wb-Weekday,115019,3,ct,WEEKDAY
438,115024,247-sb-Weekday,115024,3,ct,WEEKDAY
439,115065,227-nb-Weekday,115065,3,ct,WEEKDAY
445,115028,105-sb-Weekday,115028,3,ct,WEEKDAY
446,115039,405-sb-Weekday,115039,3,ct,WEEKDAY
447,115043,871-nb-Weekday,115043,3,ct,WEEKDAY
448,115050,14SEP-Weekday-417n-3,115050,3,ct,WEEKDAY
453,115062,14SEP-Weekday-821n-1,115062,3,ct,WEEKDAY
